1,13
2,52
3,56
4,6
5,94
6,477
7,82
8,17
9,83
10,232
11,11
12,19
13,260
14,8
15,72
16,145
17,155
18,142
19,38
20,19
21,84
22,29
23,274
24,3
25,13
26,10
27,21
28,13
29,44
30,43
31,53
32,1134
33,12
34,84
35,14
36,8
37,18
38,32
39,4
40,12
41,105
42,570
43,34
44,99
45,1197
46,285
47,2
48,45
49,13
50,67
51,62
52,33
53,11
54,13
55,41
56,278
57,224
58,63
59,15
60,12
61,9
62,19
63,1
64,333
65,19
66,212
67,11
68,70
69,9
70,20
71,61
72,673
73,216
74,7
75,26
76,20
77,93
78,83
79,19
80,235
81,47
82,105
83,52
84,32
85,46
86,68
87,754
88,3
89,265
90,19
91,589
92,13
93,708
94,8
95,439
96,45
97,6
98,142
99,20
100,129
101,31
102,20
103,10
104,42
105,111
106,142
107,48
108,14
109,192
110,112
111,20
112,89
113,128
114,20
115,217
116,37
117,1
118,9
119,14
120,46
121,78
122,167
123,2
124,228
125,200
126,390
127,366
128,13
129,4
130,42
131,4
132,14
133,8
134,2
135,49
136,84
137,13
138,338
139,17
140,1020
141,118
142,246
143,73
144,46
145,7
146,30
147,45
148,116
149,18
150,322
151,156
152,36
153,935
154,128
155,61
156,6
157,39
158,11
159,13
160,60
161,12
162,99
163,49
164,11
165,8
166,11
167,38
168,678
169,205
170,9
171,511
172,26
173,46
174,22
175,41
176,7
177,22
178,9
179,26
180,1060
181,382
182,18
